TaxID	phylum	class	order	family	genus	species
27294	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Kazachstania	Kazachstania_unispora
28985	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Kluyveromyces	Kluyveromyces_lactis
29833	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycodaceae	Hanseniaspora	Hanseniaspora_uvarum
33203	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Purpureocillium	Purpureocillium_lilacinum
34356	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Kodamaea	Kodamaea_ohmeri
35629	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Torulaspora	Torulaspora_pretoriensis
36911	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Clavispora	Clavispora_lusitaniae
36914	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Lodderomyces	Lodderomyces_elongisporus
37662	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Brettanomyces	Brettanomyces_anomalus
39397	Ascomycota	Saccharomycetes	Saccharomycetales		Candida	Candida_sake
41984	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_tamarii
42374	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida	Candida_dubliniensis
46472	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_versicolor
47278	Ascomycota	Sordariomycetes	Hypocreales		Trichothecium	Trichothecium_roseum
49331	Ascomycota	Saccharomycetes	Saccharomycetales	Trichomonascaceae	Wickerhamiella	Wickerhamiella_pararugosa
52247	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Pichia	[Candida]_inconspicua
53485	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Pyrenophora	Pyrenophora_teres
53655	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Pichia	Pichia_fermentans
54552	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Pichia	Pichia_occidentalis
56406	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycodaceae	Hanseniaspora	Hanseniaspora_guilliermondii
56407	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycodaceae	Hanseniaspora	Hanseniaspora_occidentalis
60175	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_nalgiovense
70109	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_paxilli
73501	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Cordyceps	Cordyceps_militaris
75750	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_sydowii
89141	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Cordyceps	Cordyceps_farinosa
121235	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Pichia	Pichia_manshurica
211096	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycodaceae	Hanseniaspora	Hanseniaspora_opuntiae
211097	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycodaceae	Hanseniaspora	Hanseniaspora_meyeri
230603	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_uvarum
273131	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Nakaseomyces	[Candida]_bracarensis
273371	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida	Candida_orthopsilosis
273372	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida	Candida_metapsilosis
332229	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycodaceae	Hanseniaspora	Hanseniaspora_pseudoguilliermondii
341454	Ascomycota	Pezizomycetes	Pezizales	Ascodesmidaceae	Ascodesmis	Ascodesmis_nigricans
374178	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Meyerozyma	Meyerozyma_carpophila
381046	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Lachancea	Lachancea_thermotolerans
418086	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Nakaseomyces	[Candida]_nivariensis
498019	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Clavispora	[Candida]_auris
689838	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycodaceae	Hanseniaspora	Hanseniaspora_thailandica
717740	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Hyphopichia	Hyphopichia_burtonii
746128	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_fumigatus
797268	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Paecilomyces	Paecilomyces_hepiali
1080349	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_eubayanus
1171599	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Pichia	Pichia_exigua
1548389	Ascomycota	Saccharomycetes	Saccharomycetales	Trichomonascaceae	Blastobotrys	Blastobotrys_raffinosifermentans
1712568	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	Preussia_sp._BSL10
2028340	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Meyerozyma	Meyerozyma_sp._JA9
2153245	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_sp._MA_6036
2153248	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_sp._MA_6041
2850	Bacillariophyta	Bacillariophyceae	Naviculales	Phaeodactylaceae	Phaeodactylum	Phaeodactylum_tricornutum
5270	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Ustilago	Ustilago_maydis
5341	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Agaricus	Agaricus_bisporus
38945	Basidiomycota	Agaricomycetes	Agaricales	Physalacriaceae	Flammulina	Flammulina_velutipes
55194	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia_furfur
76773	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia_globosa
76775	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia_restricta
82508	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Trichosporon	Trichosporon_asahii
120017	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Ustilago	Ustilago_hordei
169489	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia_dermatis
1708541	Basidiomycota	Wallemiomycetes	Wallemiales	Wallemiaceae	Wallemia	Wallemia_mellicola
5759	Evosea		Mastigamoebida	Entamoebidae	Entamoeba	Entamoeba_histolytica
46681	Evosea		Mastigamoebida	Entamoebidae	Entamoeba	Entamoeba_dispar
5741	Fornicata		Diplomonadida	Hexamitidae	Giardia	Giardia_intestinalis
4840	Mucoromycota	Mucoromycetes	Mucorales	Lichtheimiaceae	Rhizomucor	Rhizomucor_pusillus
4846	Mucoromycota	Mucoromycetes	Mucorales	Rhizopodaceae	Rhizopus	Rhizopus_stolonifer
64647	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Actinomucor	Actinomucor_elegans
101128	Mucoromycota	Mucoromycetes	Mucorales	Syncephalastraceae	Syncephalastrum	Syncephalastrum_monosporum
688394	Mucoromycota	Mucoromycetes	Mucorales	Lichtheimiaceae	Lichtheimia	Lichtheimia_ramosa
4953	NA	NA	NA	NA	NA	NA
5073	NA	NA	NA	NA	NA	NA
5125	NA	NA	NA	NA	NA	NA
5533	NA	NA	NA	NA	NA	NA
5579	NA	NA	NA	NA	NA	NA
5758	NA	NA	NA	NA	NA	NA
5806	NA	NA	NA	NA	NA	NA
33196	NA	NA	NA	NA	NA	NA
97479	NA	NA	NA	NA	NA	NA
184922	NA	NA	NA	NA	NA	NA
187734	NA	NA	NA	NA	NA	NA
237561	NA	NA	NA	NA	NA	NA
237631	NA	NA	NA	NA	NA	NA
284592	NA	NA	NA	NA	NA	NA
294381	NA	NA	NA	NA	NA	NA
294747	NA	NA	NA	NA	NA	NA
306902	NA	NA	NA	NA	NA	NA
330879	NA	NA	NA	NA	NA	NA
331638	NA	NA	NA	NA	NA	NA
370354	NA	NA	NA	NA	NA	NA
379508	NA	NA	NA	NA	NA	NA
425265	NA	NA	NA	NA	NA	NA
478820	NA	NA	NA	NA	NA	NA
556484	NA	NA	NA	NA	NA	NA
559292	NA	NA	NA	NA	NA	NA
559295	NA	NA	NA	NA	NA	NA
573826	NA	NA	NA	NA	NA	NA
671144	NA	NA	NA	NA	NA	NA
683960	NA	NA	NA	NA	NA	NA
763406	NA	NA	NA	NA	NA	NA
858893	NA	NA	NA	NA	NA	NA
936046	NA	NA	NA	NA	NA	NA
983644	NA	NA	NA	NA	NA	NA
983966	NA	NA	NA	NA	NA	NA
984485	NA	NA	NA	NA	NA	NA
1003335	NA	NA	NA	NA	NA	NA
1036611	NA	NA	NA	NA	NA	NA
1036612	NA	NA	NA	NA	NA	NA
1043002	NA	NA	NA	NA	NA	NA
1136231	NA	NA	NA	NA	NA	NA
1186058	NA	NA	NA	NA	NA	NA
1274793	NA	NA	NA	NA	NA	NA
1279114	NA	NA	NA	NA	NA	NA
1279115	NA	NA	NA	NA	NA	NA
1292256	NA	NA	NA	NA	NA	NA
1300067	NA	NA	NA	NA	NA	NA
1357682	NA	NA	NA	NA	NA	NA
1365484	NA	NA	NA	NA	NA	NA
1429867	NA	NA	NA	NA	NA	NA
6239	Nematoda	Chromadorea	Rhabditida	Rhabditidae	Caenorhabditis	Caenorhabditis_elegans
51028	Nematoda	Chromadorea	Rhabditida	Oxyuridae	Enterobius	Enterobius_vermicularis
6182	Platyhelminthes	Trematoda	Strigeidida	Schistosomatidae	Schistosoma	Schistosoma_japonicum
6183	Platyhelminthes	Trematoda	Strigeidida	Schistosomatidae	Schistosoma	Schistosoma_mansoni
6184	Platyhelminthes	Trematoda	Strigeidida	Schistosomatidae	Schistosoma	Schistosoma_bovis
79923	Platyhelminthes	Trematoda	Opisthorchiida	Opisthorchiidae	Clonorchis	Clonorchis_sinensis
12968		Bigyra	Opalinata	Blastocystidae	Blastocystis	Blastocystis_hominis
429571		Bigyra	Opalinata	Blastocystidae	Blastocystis	Blastocystis_sp._subtype_8
944036		Bigyra	Opalinata	Blastocystidae	Blastocystis	Blastocystis_sp._subtype_1
944160		Bigyra	Opalinata	Blastocystidae	Blastocystis	Blastocystis_sp._subtype_2
944168		Bigyra	Opalinata	Blastocystidae	Blastocystis	Blastocystis_sp._subtype_3
944170		Bigyra	Opalinata	Blastocystidae	Blastocystis	Blastocystis_sp._subtype_4
944208		Bigyra	Opalinata	Blastocystidae	Blastocystis	Blastocystis_sp._subtype_6
1544353		Bigyra	Opalinata	Blastocystidae	Blastocystis	Blastocystis_sp._subtype_9
